,Subtype
AB077812,B
AB077813,B
AB077814,B
AB077815,B
AB077816,B
AB078005,B
AB078649,B
AB078664,B
AB078675,B
AB081232,C
AB081233,C
AB081234,C
AB081235,C
AB081236,C
AB081237,C
AB081238,C
AB081239,C
AB081240,C
AB081242,C
AB081243,C
AB081244,C
AB081245,C
AB081246,C
AB081247,C
AB081248,C
AB081249,C
AB081250,C
AB081251,C
AB081252,C
AB081253,C
AB081254,C
AB081255,C
AB081256,C
AB081257,C
AB081259,C
AB081736,B
AB097485,B
AB097486,B
AB097487,B
AB097488,B
AB097870,B
AB097871,C
AB191545,C
AB191546,C
AB191547,C
AB191548,C
AB191549,C
AB191550,C
AB191551,C
AB191552,C
AB191553,C
AB191554,C
AB191555,C
AB191556,C
AB191557,C
AB191558,C
AB191559,C
AB191560,C
AB191561,C
AB191562,C
AB191563,C
AB191565,C
AB191566,C
AB191567,C
AB191568,C
AB191569,C
AB191570,C
AB191571,C
AB191572,C
AB191581,C
AB191582,C
AB191583,C
AB191584,C
AB191585,C
AB191586,C
AB191587,C
AB191588,C
AB191589,C
AB191590,C
AB191591,C
AB191592,C
AB191593,C
AB191594,C
AB191595,C
AB191596,C
AB195664,B
AB221005,B
AB221125,B
AB252507,B
AB252508,B
AB252509,B
AB252510,B
AB252511,B
AB252513,B
AB252514,B
AB252516,B
AB252517,B
AB252518,B
AB252519,B
AB252520,B
AB252521,B
AB252522,B
AB252523,B
AB252524,B
AB252525,B
AB252526,B
AB252527,B
AB252528,B
AB252529,B
AB252530,B
AB252531,B
AB252532,B
AB252533,B
AB252534,B
AB252535,B
AB252536,B
AB252537,B
AB252538,B
AB252539,B
AB252540,B
AB252541,B
AB252542,B
AB252543,B
AB252544,B
AB252545,B
AB252546,B
AB252547,B
AB252549,B
AB252550,B
AB252551,B
AB252552,B
AB252553,B
AB252554,B
AB252555,B
AB252556,B
AB252557,B
AB252558,B
AB252559,B
AB254141,C
AB254142,C
AB254143,C
AB254146,C
AB254148,C
AB254149,C
AB254150,C
AB254155,C
AB254156,C
AB262847,B
AB285844,C
AB285845,C
AB285846,C
AB285847,C
AB285848,C
AB285849,C
AB285850,C
AB285851,C
AB285852,C
AB285853,C
AB285854,C
AB285855,C
AB285856,C
AB285857,C
AB285858,C
AB285859,C
AB285860,C
AB285861,C
AB285862,C
AB285863,C
AB285864,C
AB285865,C
AB285866,C
AB285867,C
AB285868,C
AB285869,C
AB285870,C
AB285871,C
AB285872,C
AB285873,C
AB285874,C
AB285875,C
AB285877,C
AB285878,C
AB285879,C
AB285880,C
AB285881,C
AB285882,C
AB285883,C
AB285884,C
AB285885,C
AB285886,C
AB285887,C
AB285888,C
AB285889,C
AB285890,C
AB285891,C
AB285892,C
AB285893,C
AB285894,C
AB285895,C
AB285896,C
AB285897,C
AB285898,C
AB285899,C
AB285900,C
AB285901,C
AB285902,C
AB285903,C
AB285904,C
AB285905,C
AB285906,C
AB285907,C
AB285908,C
AB285909,C
AB285910,C
AB285911,C
AB285912,C
AB285913,C
AB285914,C
AB285915,C
AB285916,C
AB285917,C
AB285918,C
AB285919,C
AB285920,C
AB285922,C
AB285923,C
AB285924,C
AB285925,C
AB285926,C
AB285927,C
AB285928,C
AB285929,C
AB285930,C
AB285931,C
AB285932,C
AB285933,C
AB286955,B
AB287363,B
AB287364,B
AB287366,B
AB287368,B
AB287369,B
AB289587,B
AB289589,B
AB371727,B
AB371728,B
AB371729,B
AB371730,B
AB371731,B
AB371732,B
AB371733,B
AB371734,B
AB371735,B
AB371736,B
AB371737,B
AB371738,B
AB371739,B
AB371740,B
AB371741,B
AB371742,B
AB371743,B
AB371744,B
AB371745,B
AB371746,B
AB371747,B
AB371748,B
AB371749,B
AB371751,B
AB371752,B
AB371753,B
AB371755,B
AB371756,B
AB371758,B
AB371759,B
AB371760,B
AB371761,B
AB371762,B
AB371763,B
AB371764,B
AB371765,B
AB371766,B
AB371767,B
AB371769,C
AB371771,B
AB371772,B
AB371773,B
AB371774,B
AB371775,B
AB371776,B
AB371777,B
AB371778,B
AB371779,B
AB371780,B
AB371781,B
AB371782,B
AB371783,B
AB371784,B
AB371785,B
AB371786,B
AB371787,B
AB371788,B
AB371789,B
AB371790,B
AB371791,B
AB371793,B
AB371794,B
AB371796,B
AB371797,B
AB371799,B
AB371800,B
AB371801,B
AB371802,B
AB371804,B
AB371805,B
AB371806,B
AB371807,B
AB371808,B
AB371809,B
AB371810,B
AB428551,B
AB428552,B
AB428553,B
AB428554,B
AB428555,B
AB428556,B
AB428557,B
AB428558,B
AB428559,B
AB428560,B
AB428561,B
AB428562,B
AB429374,B
AB429375,B
AB429376,B
AB429377,B
AB429378,B
AB429379,B
AB429380,B
AB429381,B
AB429382,B
AB429383,B
AB429384,B
AB429385,B
AB429386,B
AB429387,B
AB429388,B
AB429389,B
AB429390,B
AB429391,B
AB429393,B
AB429394,B
AB429395,B
AB429396,B
AB429397,B
AB442895,B
AB442896,B
AB442898,C
AB442899,B
AB442900,C
AB442901,B
AB442904,B
AB442905,B
AB442907,B
AB442908,B
AB442910,B
AB442912,B
AB442915,B
AB442916,B
AB442918,B
AB442919,B
AB442920,B
AB442921,B
AB442922,B
AB442923,B
AB442924,B
AB442925,B
AB442926,B
AB442927,B
AB442928,B
AB442929,B
AB442931,B
AB442932,B
AB442933,B
AB442935,B
AB442936,C
AB442937,B
AB442938,B
AB442939,B
AB442941,B
AB442942,B
AB442944,B
AB442945,B
AB442946,B
AB442948,B
AB442950,B
AB442952,B
AB442953,B
AB442954,B
AB442955,C
AB442956,C
AB442957,B
AB442963,B
AB442964,B
AB442965,B
AB442966,B
AB442968,B
AB442969,B
AB442970,B
AB442971,B
AB442972,B
AB442973,B
AB442975,B
AB442976,B
AB442977,B
AB442978,B
AB442979,B
AB442980,B
AB442982,B
AB442983,B
AB442985,B
AB442986,B
AB442987,B
AB442989,B
AB442990,B
AB442991,C
AB442992,B
AB442996,B
AB442997,B
AB442998,B
AB442999,B
AB443000,B
AB443001,B
AB443003,B
AB443004,B
AB443005,B
AB443006,B
AB443008,B
AB443009,B
AB443010,B
AB443012,B
AB443014,B
AB443015,B
AB443016,B
AB443017,B
AB443019,B
AB443020,B
AB443022,B
AB443023,B
AB443024,B
AB443026,B
AB443027,B
AB443028,B
AB443029,B
AB443030,B
AB443031,B
AB443032,B
AB443033,B
AB443034,B
AB443035,B
AB443036,B
AB443037,B
AB443040,B
AB443042,C
AB443044,B
AB443045,B
AB443046,B
AB443047,B
AB443048,B
AB443049,B
AB443050,B
AB443051,B
AB443052,B
AB443053,B
AB443054,C
AB443055,B
AB443056,B
AB443059,B
AB443061,B
AB443062,B
AB443063,B
AB443064,B
AB443067,B
AB443068,B
AB443070,B
AB443071,B
AB443072,B
AB443073,B
AB443074,B
AB443075,B
AB443076,B
AB443077,B
AB443080,B
AB443082,B
AB443083,B
AB443084,B
AB443085,B
AB443087,B
AB443088,B
AB443089,B
AB443090,B
AB443091,B
AB443092,B
AB443094,B
AB443095,B
AB443096,B
AB443098,B
AB443099,B
AB443100,B
AB443101,B
AB443102,B
AB443103,B
AB443105,B
AB443106,B
AB443107,B
AB443108,B
AB443109,B
AB443110,B
AB443112,B
AB443113,B
AB443115,B
AB443117,B
AB443118,B
AB443120,B
AB443121,B
AB443123,B
AB443124,B
AB443125,B
AB443127,B
AB443128,B
AB443129,B
AB443130,B
AB443131,B
AB443132,B
AB443133,B
AB443134,B
AB443135,B
AB443136,B
AB443137,B
AB443138,B
AB443139,B
AB443140,B
AB443141,B
AB443142,C
AB443143,B
AB443144,B
AB443145,B
AB443146,B
AB443147,B
AB443148,B
AB443149,B
AB443150,B
AB443152,B
AB443153,B
AB443154,B
AB443156,B
AB443157,B
AB443158,B
AB443159,B
AB443161,B
AB443162,B
AB443163,B
AB443164,B
AB443166,B
AB443167,B
AB443168,B
AB443169,B
AB443170,B
AB443171,B
AB443172,B
AB443173,B
AB443174,C
AB443176,B
AB443177,B
AB443178,B
AB443179,B
AB443180,B
AB443181,B
AB443182,B
AB443183,B
AB443184,B
AB443185,B
AB443186,B
AB443187,B
AB443188,B
AB443189,B
AB443190,B
AB443191,B
AB443192,B
AB443193,B
AB443194,B
AB443195,B
AB443196,B
AB443199,B
AB443200,B
AB443201,B
AB443202,B
AB443203,B
AB443204,B
AB443205,B
AB443206,B
AB443207,B
AB443212,B
AB443213,B
AB443214,B
AB443215,B
AB443216,B
AB443218,B
AB443220,B
AB443221,B
AB443222,B
AB443223,B
AB443224,B
AB443225,B
AB443227,B
AB443228,B
AB443230,B
AB443232,B
AB443234,B
AB443235,B
AB443236,B
AB443237,B
AB443239,B
AB443240,B
AB443241,B
AB443242,B
AB443243,B
AB443244,B
AB443245,B
AB443246,B
AB443247,B
AB443248,B
AB443250,B
AB443251,B
AB443252,B
AB443253,B
AB443254,B
AB443255,B
AB443256,B
AB443257,B
AB443258,B
AB443259,B
AB443260,B
AB443261,B
AB443262,B
AB443264,B
AB443265,B
AB443266,B
AB443267,B
AB443268,B
AB443269,B
AB443270,B
AB443272,B
AB443273,B
AB443274,B
AB443275,B
AB443276,B
AB443277,B
AB443278,B
AB443280,B
AB443281,B
AB443282,B
AB443283,B
AB443284,B
AB443285,B
AB443286,B
AB443287,B
AB443288,B
AB443289,B
AB443290,B
AB443291,B
AB443292,B
AB443293,B
AB443294,B
AB443295,B
AB443296,B
AB443297,B
AB443298,B
AB443300,B
AB443301,B
AB443302,B
AB443303,B
AB443304,B
AB443305,B
AB443306,B
AB443307,B
AB443308,B
AB443309,B
AB443313,B
AB443314,B
AB443315,B
AB443316,B
AB443318,B
AB443320,B
AB443321,B
AB443322,B
AB443323,B
AB443325,B
AB443326,B
AB443327,C
AB443329,B
AB443330,B
AB443331,B
AB443332,B
AB443333,B
AB443334,B
AB443335,B
AB443336,B
AB443337,B
AB443338,B
AB443339,B
AB443340,B
AB443341,B
AB443342,B
AB443343,B
AB443344,B
AB443345,B
AB443346,B
AB443347,B
AB443348,B
AB443349,B
AB443350,B
AB443351,B
AB443352,B
AB443353,B
AB443354,B
AB443355,B
AB443356,B
AB443357,B
AB443358,B
AB443359,B
AB443360,B
AB443361,B
AB443362,B
AB443364,B
AB443365,B
AB443366,B
AB443367,B
AB443368,B
AB443369,B
AB443370,B
AB443371,B
AB443372,B
AB443373,B
AB443374,B
AB443375,B
AB443376,B
AB443377,B
AB443378,B
AB443379,B
AB443381,B
AB443382,B
AB443383,B
AB443384,B
AB443385,B
AB443386,B
AB443387,B
AB443388,B
AB443389,B
AB443390,B
AB443392,B
AB443394,B
AB443395,B
AB443396,B
AB443397,B
AB443398,B
AB443399,B
AB443400,B
AB443401,B
AB443402,B
AB443403,B
AB443404,B
AB443405,B
AB443406,B
AB443407,B
AB443408,B
AB443409,B
AB443410,B
AB443411,B
AB443412,B
AB443413,B
AB443414,B
AB443415,B
AB443416,B
AB443417,B
AB443418,B
AB443419,B
AB443421,B
AB443422,B
AB443423,B
AB443424,B
AB443425,B
AB443426,B
AB443427,B
AB443428,B
AB468376,B
AB468518,B
AB468545,B
AB480692,B
AB480694,B
AB480696,B
AB480698,B
AB485638,B
AB485641,B
AB485643,C
AB485645,C
AB553911,B
AB553912,B
AB553913,B
AB553914,B
AB564744,B
AB564746,B
AB565478,B
AB565495,B
AB565499,B
AB565501,B
AB587119,B
AB587121,B
AB587122,B
AB587123,B
AB587124,B
AB587125,B
AB587126,B
AB587127,B
AB587128,B
AB587129,B
AB587130,B
AB587131,B
AB588196,B
AB588207,B
AB588209,B
AB588211,B
AB588223,B
AB588232,B
AB588243,B
AB588253,B
AB588263,B
AB588271,B
AB588283,B
AB588291,B
AB588311,B
AB588319,B
AB588329,B
AB604946,B
AB604948,B
AB604950,B
AB640872,B
AB641341,C
AB641836,B
AB711345,B
AB731663,B
AB731665,B
AB731667,B
AB735902,B
AB735903,B
AB735904,B
AB735905,B
AB735906,B
AB735907,B
AB735908,B
AB735909,B
AB735910,B
AB735911,B
AB735912,B
AB735913,B
AB735914,B
AB735915,B
AB735916,B
AB735917,B
AB735918,B
AB735919,B
AB735921,B
AB735922,B
AB735923,B
AB735924,B
AB735925,B
AB735926,B
AB735927,B
AB735928,B
AB735929,B
AB735930,B
AB735931,B
AB735932,B
AB735933,B
AB735934,B
AB735935,B
AB735936,B
AB735937,B
AB735938,B
AB742145,B
AB750368,B
AB981480,B
AB981482,B
AB981484,B
AB981486,B
AB981488,B
AB981490,B
AB981492,B
AB981494,B
AB981496,B
AB981498,B
AB981500,B
AB981502,B
AB981504,B
AB981506,B
AB981508,B
AB981510,B
AB981512,B
AB981514,B
AB981516,B
AB981518,B
AB981520,B
AB981522,B
AB981524,B
AB981526,B
AB981528,B
AB981530,B
AB981532,B
AB981534,B
AB981536,B
AB981538,B
AB981540,B
AB981544,B
AB981546,B
AB981548,B
AB981550,B
AB981553,B
AB981557,B
AB981558,B
AB981560,B
AB981562,B
AB981564,B
AB981566,B
AB981568,B
AB981570,B
AB981572,B
AB981574,B
AB981576,B
AB981578,C
AF003887,B
AF004025,B
AF004234,C
AF004235,B
AF004238,B
AF004239,B
AF004241,B
AF004242,B
AF004243,B
AF004244,B
AF004245,B
AF004246,B
AF004247,C
AF004249,B
AF004250,B
AF004253,B
AF004254,B
AF004255,B
AF004256,B
AF004257,C
AF004258,B
AF004260,B
AF004261,B
AF004262,B
AF004264,B
AF004266,B
AF004267,B
AF004269,B
AF004270,B
AF004272,B
AF004275,B
AF004394,B
AF014075,B
AF014078,B
AF014085,B
AF014089,B
AF014092,B
AF014095,B
AF014097,B
AF014098,C
AF014099,B
AF014100,C
AF014101,C
AF014102,B
AF014104,B
AF016329,C
AF016330,C
AF016331,C
AF016547,B
AF016548,B
AF016549,B
AF016550,B
AF016551,B
AF016552,B
AF016553,B
AF016554,B
AF016555,B
AF016556,B
AF016557,B
AF016558,B
AF016559,B
AF016560,B
AF016561,B
AF016562,B
AF016563,B
AF016564,B
AF016565,B
AF016566,B
AF016567,B
AF016568,B
AF016569,B
AF016570,B
AF016571,B
AF016572,B
AF016573,B
AF016574,B
AF016575,B
AF016576,B
AF016577,B
AF016578,B
AF016579,B
AF016760,B
AF016802,B
AF020822,C
AF021367,B
AF022243,B
AF022244,B
AF022245,B
AF022246,B
AF022257,B
AF023082,C
AF023083,B
AF023084,C
AF023305,B
AF023310,B
AF023314,B
AF023316,B
AF023318,B
AF023321,B
AF023325,B
AF023329,B
AF023332,B
AF023344,B
AF023361,B
AF023400,B
AF023493,B
AF023494,B
AF023495,B
AF023496,B
AF023497,B
AF023498,B
AF023499,B
AF023500,B
AF023501,B
AF023502,B
AF023503,B
AF023504,B
AF023505,B
AF023506,B
AF023507,B
AF023508,B
AF023509,B
AF023510,B
AF023511,B
AF023512,B
AF025692,B
AF025694,B
AF025696,B
AF025697,C
AF025698,B
AF025701,B
AF025702,B
AF025704,B
AF025706,B
AF025708,B
AF025714,B
AF025749,B
AF025750,B
AF025751,B
AF025752,B
AF025753,B
AF025754,B
AF025755,B
AF025756,B
AF025757,B
AF025758,B
AF025759,B
AF025760,B
AF025761,B
AF025762,B
AF025763,B
AF025764,B
AF025919,B
AF025920,B
AF025922,B
AF025923,B
AF025924,B
AF025925,B
AF027771,B
AF030543,B
AF030544,B
AF031944,B
AF031945,B
AF031946,B
AF031947,B
AF031948,B
AF031949,B
AF031951,B
AF032134,B
AF032135,C
AF032136,B
AF032137,B
AF032138,B
AF032139,C
AF032140,B
AF032141,B
AF032142,B
AF032145,B
AF032146,B
AF032147,C
AF032149,B
AF032150,B
AF032151,B
AF032152,B
AF032153,B
AF032154,B
AF032156,B
AF032157,B
AF032158,C
AF032160,B
AF032161,B
AF032162,B
AF032163,B
AF032164,B
AF032165,B
AF032168,B
AF032170,B
AF032173,B
AF032175,B
AF032177,B
AF032180,B
AF032182,B
AF032184,B
AF032185,B
AF032186,B
AF032189,B
AF032191,B
AF032193,B
AF032195,B
AF032200,B
AF032202,B
AF032203,B
AF032204,B
AF032205,B
AF032206,B
AF032207,B
AF032208,B
AF032210,B
AF032213,B
AF032214,C
AF032215,B
AF032216,C
AF032217,B
AF032218,B
AF032219,B
AF032220,B
AF032221,B
AF032223,B
AF032224,B
AF032901,B
AF032926,B
AF033993,B
AF033994,B
AF033995,B
AF033996,B
AF033997,B
AF033998,B
AF033999,B
AF034000,B
AF034001,B
AF034002,B
AF034004,B
AF034005,B
AF034010,B
AF034012,B
AF034013,B
AF034015,B
AF034016,B
AF034018,B
AF034019,B
AF034021,B
AF034022,B
AF034023,B
AF034024,B
AF034025,B
AF034026,B
AF034027,B
AF034028,B
AF034029,B
AF034030,B
AF034032,B
AF034033,B
AF034034,B
AF034375,B
AF034392,B
AF034393,B
AF034394,B
AF034395,B
AF034396,B
AF034398,B
AF034399,B
AF035532,B
AF038076,C
AF038077,C
AF038078,C
AF038079,C
AF038080,C
AF038081,C
AF038082,C
AF038083,C
AF038084,C
AF038085,C
AF038086,C
AF038087,C
AF038088,C
AF038089,C
AF038090,C
AF038091,C
AF038092,C
AF038093,C
AF038095,C
AF038096,C
AF038097,C
AF041108,C
AF041109,B
AF041110,B
AF041114,C
AF041115,B
AF041117,B
AF041118,B
AF041119,B
AF041125,B
AF041126,B
AF041127,B
AF041128,B
AF041129,B
AF041130,B
AF041131,B
AF041132,B
AF041133,B
AF041134,B
AF041135,B
AF042100,B
AF042101,B
AF042102,B
AF042103,B
AF042104,B
AF042105,B
AF045628,C
AF045629,C
AF045630,C
AF045631,C
AF045632,C
AF045633,C
AF045634,C
AF049290,B
AF049291,B
AF049293,B
AF049300,C
AF049301,C
AF049302,B
AF049303,B
AF049304,B
AF049305,B
AF049306,B
AF049307,B
AF049308,B
AF049309,B
AF049310,B
AF049311,B
AF049312,B
AF049313,B
AF049314,B
AF049315,B
AF049316,B
AF049317,B
AF049318,B
AF049319,B
AF049323,B
AF049324,B
AF049325,B
AF049326,B
AF049495,B
AF050769,B
AF050782,B
AF050806,B
AF051462,B
AF051472,B
AF051512,B
AF052622,B
AF052623,B
AF052624,B
AF052625,B
AF052626,B
AF052627,B
AF052628,B
AF052629,B
AF052630,C
AF052631,C
AF052979,B
AF053181,C
AF053182,C
AF053183,C
AF053184,C
AF053185,C
AF053186,C
AF053187,C
AF053188,C
AF053189,C
AF053190,C
AF053191,C
AF053192,C
AF053193,C
AF053194,C
AF053195,C
AF053196,C
AF053197,C
AF053198,C
AF053199,C
AF053200,C
AF053201,C
AF053202,C
AF053203,C
AF053204,C
AF053205,C
AF053206,C
AF053207,C
AF053208,C
AF053209,C
AF053210,C
AF053211,C
AF053212,C
AF053213,C
AF053214,C
AF053215,C
AF053216,C
AF053217,C
AF053219,C
AF053220,C
AF053221,C
AF053222,C
AF053223,C
AF053224,C
AF053277,C
AF053278,C
AF053279,B
AF053280,C
AF053281,C
AF053282,C
AF053283,C
AF053284,C
AF053285,C
AF053287,C
AF053288,C
AF053289,C
AF053290,C
AF053291,C
AF053292,C
AF053293,C
AF053294,C
AF053295,C
AF053296,C
AF053297,C
AF053298,C
AF053299,C
AF053613,B
AF056117,C
AF056118,C
AF056119,C
AF056120,C
AF056121,C
AF056122,C
AF056123,C
AF056124,C
AF056125,C
AF056126,C
AF056127,C
AF056128,C
AF056129,C
AF056130,C
AF056131,C
AF056132,C
AF056133,C
AF056134,C
AF056135,C
AF056136,C
AF056137,C
AF056138,C
AF056139,C
AF056140,C
AF056141,C
AF058090,B
AF058091,B
AF058092,B
AF058093,B
AF058094,B
AF058095,B
AF058096,B
AF058097,B
AF058098,B
AF058099,B
AF058100,B
AF058101,B
AF058102,B
AF058103,B
AF058104,B
AF058105,B
AF058106,B
AF058107,B
AF058108,B
AF058109,B
AF058110,B
AF058111,B
AF058112,B
AF058113,B
AF058114,B
AF058115,B
AF058116,B
AF058117,B
AF058118,B
AF058119,B
AF058120,B
AF058121,B
AF058122,B
AF058123,B
AF058124,B
AF058125,B
AF058126,B
AF058127,B
AF058128,B
AF058129,B
AF058130,B
AF058131,B
AF058132,B
AF058133,B
AF058134,B
AF058135,B
AF058136,B
AF058137,B
AF058138,B
AF058139,B
AF058140,B
AF058141,B
AF058142,B
AF058143,B
AF058144,B
AF058145,B
AF058146,B
AF058147,B
AF058148,B
AF058149,B
AF058150,B
AF058151,B
AF058152,B
AF058153,B
AF058154,B
AF058155,B
AF058156,B
AF058157,B
AF058158,B
AF058159,B
AF058160,B
AF058161,B
AF058162,B
AF058163,B
AF058164,B
AF058165,B
AF058166,B
AF058167,B
AF058168,B
AF058169,B
AF058170,B
AF058171,B
AF058172,B
AF058173,B
AF060952,B
AF060953,B
AF060955,B
AF060956,B
AF060957,B
AF060958,B
AF060959,B
AF060960,B
AF060961,B
AF060962,B
AF060963,B
AF060964,B
AF060965,B
AF060966,B
AF060967,B
AF060968,B
AF060969,B
AF060970,C
AF060971,B
AF065488,B
AF065492,B
AF065496,B
AF065505,B
AF065508,B
AF065509,B
AF065510,B
AF065515,B
AF065516,B
AF065519,B
AF065520,B
AF065523,B
AF065524,B
AF065526,B
AF065530,B
AF065534,B
AF065536,B
AF065539,B
AF065540,B
AF065547,B
AF065548,B
AF065551,B
AF065552,B
AF065555,B
AF065557,B
AF065559,B
AF065561,B
AF065562,B
AF065569,B
AF065590,B
AF067154,C
AF067155,C
AF067157,C
AF067158,C
AF067159,C
AF069139,B
AF069524,B
AF070521,B
AF071269,B
AF071270,B
AF071271,B
AF071272,B
AF071273,B
AF071274,B
AF071275,B
AF071276,B
AF071277,B
AF071278,B
AF071279,B
AF071280,B
AF071281,B
AF071282,B
AF071283,B
AF071284,B
AF071285,B
AF071286,B
AF071287,B
AF071288,B
AF071289,B
AF071290,B
AF075720,B
AF075726,B
AF075727,B
AF075728,B
AF075729,B
AF075730,B
AF075731,B
AF075732,B
AF075733,B
AF075734,B
AF075735,B
AF075736,B
AF075737,B
AF075738,B
AF075739,B
AF075740,B
AF075741,B
AF075742,B
AF075743,B
AF075744,B
AF075745,B
AF075746,B
AF076313,B
AF076316,B
AF076318,B
AF076319,B
AF076322,B
AF079832,B
AF080133,B
AF080134,B
AF080136,B
AF080137,B
AF080138,B
AF080139,B
AF080140,B
AF080141,B
AF080142,B
AF080143,B
AF080144,B
AF080145,B
AF080146,B
AF080147,B
AF080148,B
AF080149,B
AF080150,B
AF080151,B
AF080152,B
AF080153,B
AF080154,B
AF080186,B
AF080187,B
AF080188,B
AF080189,B
AF080190,B
AF080191,B
AF080192,C
AF080206,B
AF080209,B
AF080210,B
AF080211,B
AF080212,B
AF080698,B
AF080738,B
AF080824,B
AF080914,B
AF082353,B
AF082354,B
AF082356,B
AF082360,B
AF082361,B
AF082362,B
AF082367,B
AF082369,B
AF082371,B
AF082372,B
AF082373,B
AF082374,B
AF082379,B
AF082381,B
AF082382,B
AF082384,B
AF082385,B
AF082387,B
AF082388,B
AF082390,B
AF082457,B
AF082479,B
AF082482,B
AF082536,B
AF082537,B
AF082538,B
AF082539,B
AF082540,B
AF082541,B
AF082542,B
AF082543,B
AF082544,B
AF082545,B
AF082546,B
AF082547,B
AF082548,B
AF082549,B
AF082550,B
AF082551,B
AF082552,B
AF082553,B
AF082554,B
AF082555,B
AF082837,B
AF082840,B
AF082842,B
AF085304,C
AF085315,C
AF085320,C
AF086817,B
AF086975,B
AF086976,B
AF086977,B
AF086978,B
AF086979,B
AF086980,B
AF086981,B
AF086982,B
AF086983,B
AF086984,B
AF086985,B
AF086986,B
AF086987,B
AF086988,B
AF086989,B
AF086990,B
AF086991,B
AF086992,B
AF086993,B
AF086994,B
AF086995,B
AF086996,B
AF086997,B
AF086998,B
AF086999,B
AF087000,B
AF087001,B
AF089109,B
AF089148,B
AF089195,B
AF089238,B
AF089292,B
AF089335,B
AF089384,B
AF089448,B
AF089497,B
AF089529,B
AF089566,B
AF089592,B
AF089669,B
AF090554,B
AF090573,B
AF090599,B
AF092953,B
AF092955,B
AF092957,B
AF093912,B
AF094079,B
AF094132,B
AF094179,B
AF094228,B
AF094270,B
AF094522,B
AF094523,B
AF094524,B
AF094525,B
AF094526,B
AF094528,B
AF094529,B
AF094530,B
AF094977,B
AF094988,B
AF094997,B
AF095007,B
AF095017,B
AF095027,B
AF095037,B
AF095047,B
AF095057,B
AF095067,B
AF095084,B
AF095104,B
AF095825,C
AF095826,C
AF095828,B
AF095831,C
AF095834,C
AF095835,C
AF095836,C
AF095837,C
AF095838,C
AF096673,B
AF096674,B
AF096675,B
AF096676,B
AF096677,B
AF096678,B
AF096679,B
AF096680,B
AF096681,B
AF096682,B
AF096683,B
AF096684,B
AF096685,B
AF096686,B
AF096687,B
AF096688,B
AF096689,B
AF096813,B
AF096814,B
AF098078,C
AF098079,C
AF098080,C
AF098081,C
AF098082,C
AF098083,C
AF098084,C
AF098085,C
AF098086,C
AF098087,C
AF098088,C
AF098089,C
AF098090,B
AF098091,C
AF098092,C
AF098093,C
AF098094,C
AF098095,C
AF098096,C
AF098097,B
AF098098,C
AF098099,C
AF098100,B
AF098101,C
AF098102,C
AF098103,C
AF098104,C
AF098105,C
AF098106,C
AF098718,B
AF098719,B
AF100001,B
AF100031,B
AF100051,B
AF100081,B
AF100111,B
AF100937,B
